pin,chicago_community_area_num,chicago_community_area_name,zip_code,latitude,longitude,type
25201060380000,75.0,MORGAN PARK,60643.0,41.69067930517987,-87.65240714233533,Private
19012150830000,58.0,BRIGHTON PARK,60609.0,41.82211390536125,-87.68521896236973,Private
20163110010000,68.0,ENGLEWOOD,60621.0,41.78498933561601,-87.63953999850531,Private
20171060120000,67.0,WEST ENGLEWOOD,60636.0,41.79291691110627,-87.65692827295176,Private
20084280330000,61.0,NEW CITY,60609.0,41.79539903906561,-87.6464385387705,Private
20184040350000,67.0,WEST ENGLEWOOD,60636.0,41.78576179846107,-87.6683672549487,Private
20192110460000,67.0,WEST ENGLEWOOD,60636.0,41.775889834509464,-87.6693509350803,Private
20194060030000,67.0,WEST ENGLEWOOD,60636.0,41.77190414922645,-87.66597129842869,Private
20222310010000,42.0,WOODLAWN,60637.0,41.77478740609181,-87.60671208238732,Private
20333090140000,71.0,AUBURN GRESHAM,60620.0,41.73902118177017,-87.64238990016479,Private
21311150050000,46.0,SOUTH CHICAGO,60617.0,41.749500032755535,-87.55735632081213,Private
21314180040000,46.0,SOUTH CHICAGO,60617.0,41.74066454347514,-87.55356540189008,Private
17053160030000,24.0,WEST TOWN,60642.0,41.899527178672,-87.66215434816867,Private
17193050320000,31.0,LOWER WEST SIDE,60608.0,41.85699177091504,-87.67773057992002,Private
17271160080000,33.0,NEAR SOUTH SIDE,60616.0,41.84873571496607,-87.62459882467785,Private
17281320310000,60.0,BRIDGEPORT,60616.0,41.84578728521883,-87.64278429957609,Private
17284010200000,34.0,ARMOUR SQUARE,60616.0,41.84502608636728,-87.6346220032914,Private
25162130530000,49.0,ROSELAND,60628.0,41.70171445707838,-87.62728498652706,Private
25162170600000,49.0,ROSELAND,60628.0,41.70004905779368,-87.63033907516372,Private
26303310310000,55.0,HEGEWISCH,60633.0,41.660037388287414,-87.54989576929317,Private
16362040350000,59.0,MCKINLEY PARK,60608.0,41.830605577525645,-87.68544943929945,Private
17204340020000,31.0,LOWER WEST SIDE,60608.0,41.85507514148342,-87.64949087860772,Private
17311170200000,59.0,MCKINLEY PARK,60608.0,41.83048757885715,-87.68408343370135,Private
17341200880000,35.0,DOUGLAS,60616.0,41.833957160825314,-87.62095606780234,Private
19093230680000,56.0,GARFIELD RIDGE,60638.0,41.79524766426706,-87.75326887381668,Private
19111230120000,62.0,WEST ELSDON,60632.0,41.80180874181012,-87.71393436989692,Private
20114010400000,41.0,HYDE PARK,60615.0,41.80116921896753,-87.59456644890489,Private
20153060110000,40.0,WASHINGTON PARK,60621.0,41.78453199729088,-87.62496116137486,Private
20171100010000,67.0,WEST ENGLEWOOD,60636.0,41.792123178730606,-87.66176405184545,Private
20174000440000,68.0,ENGLEWOOD,60621.0,41.78535552111453,-87.65378489344111,Private
20181050010000,67.0,WEST ENGLEWOOD,60636.0,41.79326377901752,-87.67651068851198,Private
20082040410000,61.0,NEW CITY,60609.0,41.80535903212222,-87.65430161388598,Private
20083050190000,61.0,NEW CITY,60609.0,41.80027715207847,-87.65833061155527,Private
20101200100000,38.0,GRAND BOULEVARD,60615.0,41.802994631691185,-87.62219867813594,Private
20193060060000,67.0,WEST ENGLEWOOD,60636.0,41.77179354066503,-87.67544267013186,Private
20211160170000,68.0,ENGLEWOOD,60621.0,41.775004206808006,-87.64339606964593,Private
20232110340000,42.0,WOODLAWN,60637.0,41.776451914698775,-87.5950068965034,Private
20234000110000,69.0,GREATER GRAND CROSSING,60637.0,41.77014573470849,-87.59454890439908,Private
20264030370000,43.0,SOUTH SHORE,60619.0,41.757190064250096,-87.59001588067335,Private
20274050400000,69.0,GREATER GRAND CROSSING,60619.0,41.75812450084426,-87.60806971167554,Private
25023090140000,47.0,BURNSIDE,60619.0,41.72600203065245,-87.60210997451856,Private
25214240070000,53.0,WEST PULLMAN,60628.0,41.67951346367456,-87.62893728380315,Private
26053060170000,52.0,EAST SIDE,60617.0,41.72183704134533,-87.53926329268211,Private
26071400500000,51.0,SOUTH DEERING,60617.0,41.71595803460677,-87.55443225170461,Private
25162040110000,49.0,ROSELAND,60628.0,41.70594174983753,-87.62735815823613,Private
25164220030000,49.0,ROSELAND,60628.0,41.69503011679653,-87.62507631310086,Private
25164300160000,49.0,ROSELAND,60628.0,41.693348310985286,-87.62347046845731,Private
26312270190000,55.0,HEGEWISCH,60633.0,41.65231991717901,-87.5443916970625,Private
17171100590000,28.0,NEAR WEST SIDE,60606.0,41.878197614957635,-87.66627049443518,Private
17181010040000,28.0,NEAR WEST SIDE,60612.0,41.88085645030067,-87.68327789276331,Private
17294120050000,60.0,BRIDGEPORT,60608.0,41.843106242341065,-87.6543245421118,Private
17324080300000,60.0,BRIDGEPORT,60609.0,41.8275754463264,-87.64975368737701,Private
19044270330000,56.0,GARFIELD RIDGE,60638.0,41.80781115303987,-87.74862317620337,Private
19122040290000,58.0,BRIGHTON PARK,60632.0,41.80666464139004,-87.68892391408686,Private
19122070300000,58.0,BRIGHTON PARK,60632.0,41.80686520930051,-87.6851188094341,Private
17082490070000,24.0,WEST TOWN,60642.0,41.8908266273797,-87.65262645897013,Private
17341200120000,35.0,DOUGLAS,60616.0,41.833450462268424,-87.62146113174589,Private
25052150180000,71.0,AUBURN GRESHAM,60620.0,41.73305637823299,-87.64552900604394,Private
25074040250000,72.0,BEVERLY,60643.0,41.71337808715548,-87.66571087923525,Private
25221060150000,49.0,ROSELAND,60628.0,41.68922235302249,-87.62273674770279,Private
25223210320000,53.0,WEST PULLMAN,60628.0,41.6783414902488,-87.61888138587241,Private
25271150090000,53.0,WEST PULLMAN,60628.0,41.6745543437904,-87.62003108371468,Private
26081080080000,52.0,EAST SIDE,60617.0,41.7146840180318,-87.53734954977267,Private
26083120080000,52.0,EAST SIDE,60617.0,41.707617727216,-87.53735269140108,Private
17081230420000,24.0,WEST TOWN,60642.0,41.892124917330555,-87.6624606947083,Private
17164110170000,32.0,LOOP,60605.0,41.87024045232131,-87.63201785588184,Private
17174171950000,28.0,NEAR WEST SIDE,60607.0,41.870075158189096,-87.65634910129299,Private
17331220900000,60.0,BRIDGEPORT,60616.0,41.83116064461285,-87.64025476949173,Private
17284120070000,34.0,ARMOUR SQUARE,60616.0,41.842852037562,-87.63508357500527,Private
17314050140000,59.0,MCKINLEY PARK,60609.0,41.82951500832098,-87.66879977234554,Private
17314210340000,59.0,MCKINLEY PARK,60609.0,41.826168804502295,-87.66819657698748,Private
19044210240000,56.0,GARFIELD RIDGE,60638.0,41.81061252990536,-87.74603855819076,Private
19102300150000,57.0,ARCHER HEIGHTS,60632.0,41.80173250079558,-87.72495015293697,Private
17212130420000,33.0,NEAR SOUTH SIDE,60605.0,41.865264056824394,-87.62894528331836,Private
17213250090000,31.0,LOWER WEST SIDE,60616.0,41.8554854468722,-87.64120407576702,Private
17341210780000,35.0,DOUGLAS,60616.0,41.832704382267735,-87.62023171823333,Private
19123220080000,63.0,GAGE PARK,60632.0,41.79560869805682,-87.70326298887126,Private
25203280950000,53.0,WEST PULLMAN,60643.0,41.68347402343267,-87.65248352028391,Private
25204160150000,53.0,WEST PULLMAN,60643.0,41.6802387145598,-87.64650923860539,Private
25221090030000,49.0,ROSELAND,60628.0,41.68870206273009,-87.62262256955712,Private
25222250010000,50.0,PULLMAN,60628.0,41.68616084349266,-87.61098533409701,Private
26064000140000,48.0,CALUMET HEIGHTS,60617.0,41.72958361071762,-87.55574160155872,Private
25182100050000,72.0,BEVERLY,60643.0,41.701711549641175,-87.66613777196257,Private
19144060240000,66.0,CHICAGO LAWN,60629.0,41.7845821805333,-87.71041592286214,Private
20173290010000,67.0,WEST ENGLEWOOD,60636.0,41.78116169391272,-87.65907075197755,Private
20174090290000,68.0,ENGLEWOOD,60621.0,41.784242341471234,-87.65254516556617,Private
20181040180000,67.0,WEST ENGLEWOOD,60636.0,41.79250967585513,-87.67756719325888,Private
20181130240000,63.0,GAGE PARK,60636.0,41.7892999620517,-87.68289712779504,Private
19244160040000,66.0,CHICAGO LAWN,60629.0,41.76799032058372,-87.68898406542624,Private
20033220160000,38.0,GRAND BOULEVARD,60653.0,41.80956542252759,-87.61916969049132,Private
20084210230000,61.0,NEW CITY,60609.0,41.79663973739842,-87.64831284237462,Private
20091080070000,61.0,NEW CITY,60609.0,41.80560533105159,-87.64271068375065,Private
20194020330000,67.0,WEST ENGLEWOOD,60636.0,41.77132793796348,-87.6704160028173,Private
20201150320000,67.0,WEST ENGLEWOOD,60636.0,41.77522518661141,-87.65959526109292,Private
20222140420000,42.0,WOODLAWN,60637.0,41.776953463083714,-87.6079481084827,Private
20254050390000,43.0,SOUTH SHORE,60649.0,41.75830712976102,-87.56915010664875,Private
20282260210000,69.0,GREATER GRAND CROSSING,60621.0,41.759580443512355,-87.62993871277395,Private
20363160100000,45.0,AVALON PARK,60617.0,41.740309597236106,-87.5845613405481,Private
21322130100000,46.0,SOUTH CHICAGO,60617.0,41.7419921984807,-87.53545416314898,Private
